Designator Footprint          Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment   

FID3       FIDUCIAL         2470mil       8050mil       2470mil       8050mil       2470mil       8050mil  T         90.00 FIDUCIAL  
C36.6      0603             4360mil       5390mil       4360mil       5390mil   4393.465mil       5390mil  T        180.00 CAPACITOR 
C36.7      0603             4360mil       4900mil       4360mil       4900mil   4393.465mil       4900mil  T        180.00 CAPACITOR 
C36.8      0603             4360mil       4410mil       4360mil       4410mil   4393.465mil       4410mil  T        180.00 CAPACITOR 
C36.9      0603             4360mil       3920mil       4360mil       3920mil   4393.465mil       3920mil  T        180.00 CAPACITOR 
C36.10     0603             4360mil       3430mil       4360mil       3430mil   4393.465mil       3430mil  T        180.00 CAPACITOR 
C37.1      0603             4200mil       7560mil       4200mil       7560mil   4233.465mil       7560mil  T        180.00 CAPACITOR 
C37.2      0603             4200mil       7070mil       4200mil       7070mil   4233.465mil       7070mil  T        180.00 CAPACITOR 
C37.3      0603             4200mil       6580mil       4200mil       6580mil   4233.465mil       6580mil  T        180.00 CAPACITOR 
C37.4      0603             4200mil       6090mil       4200mil       6090mil   4233.465mil       6090mil  T        180.00 CAPACITOR 
C37.5      0603             4200mil       5600mil       4200mil       5600mil   4233.465mil       5600mil  T        180.00 CAPACITOR 
C37.6      0603             4200mil       5070mil       4200mil       5070mil   4233.465mil       5070mil  T        180.00 CAPACITOR 
C37.7      0603             4200mil       4580mil       4200mil       4580mil   4233.465mil       4580mil  T        180.00 CAPACITOR 
C37.8      0603             4200mil       4090mil       4200mil       4090mil   4233.465mil       4090mil  T        180.00 CAPACITOR 
C37.9      0603             4200mil       3600mil       4200mil       3600mil   4233.465mil       3600mil  T        180.00 CAPACITOR 
C37.10     0603             4200mil       3110mil       4200mil       3110mil   4233.465mil       3110mil  T        180.00 CAPACITOR 
C38.1      0603             4060mil       7820mil       4060mil       7820mil       4060mil   7853.465mil  T        270.00 CAPACITOR 
C38.2      0603             4060mil       7330mil       4060mil       7330mil       4060mil   7363.465mil  T        270.00 CAPACITOR 
C38.3      0603             4060mil       6840mil       4060mil       6840mil       4060mil   6873.465mil  T        270.00 CAPACITOR 
C38.4      0603             4060mil       6350mil       4060mil       6350mil       4060mil   6383.465mil  T        270.00 CAPACITOR 
C38.5      0603             4060mil       5860mil       4060mil       5860mil       4060mil   5893.465mil  T        270.00 CAPACITOR 
C38.6      0603             4060mil       5330mil       4060mil       5330mil       4060mil   5363.465mil  T        270.00 CAPACITOR 
C38.7      0603             4060mil       4840mil       4060mil       4840mil       4060mil   4873.465mil  T        270.00 CAPACITOR 
C38.8      0603             4060mil       4350mil       4060mil       4350mil       4060mil   4383.465mil  T        270.00 CAPACITOR 
